"state","city","tourist_place","category","date_recorded","altitude","climate_type","season","climate_change_risk","rainfall_mm"
"West Bengal","Kolkata","Victoria Memorial","Monument","1/24/2023","2996","Mountain","Monsoon","Low","105"
"Lakshadweep","Lakshadweep","Agatti Island","Island","11/13/2023","156","Mountain","Winter","Low","103"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","9/11/2023","441","Hot-Dry","Winter","Low","126"
"Lakshadweep","Lakshadweep","Agatti Island","Island","9/27/2023","52","Tropical","Monsoon","Low","33"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","11/19/2023","1698","Tropical","Winter","Moderate","22"
"Meghalaya","Shillong","Living Root Bridges","Nature","8/30/2023","1116","Mountain","Winter","Low","35"
"Maharashtra","Mumbai","Marine Drive","Coastal","11/8/2023","3002","Humid","Summer","High","348"
"Uttar Pradesh","Agra","Taj Mahal","Monument","11/21/2023","3660","Hot-Dry","Monsoon","High","151"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","10/11/2023","519","Cold","Winter","Low","194"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","7/9/2023","464","Humid","Monsoon","Moderate","172"
"Odisha","Puri","Jagannath Temple","Temple","5/30/2023","3132","Tropical","Winter","Low","234"
"Sikkim","Gangtok","Tsomgo Lake","Lake","8/6/2023","2058","Cold","Monsoon","Moderate","68"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","10/7/2023","1545","Tropical","Winter","Low","321"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","4/2/2023","2155","Tropical","Monsoon","High","188"
"Kerala","Kochi","Fort Kochi","Heritage","10/18/2023","2539","Cold","Monsoon","Moderate","326"
"Uttar Pradesh","Agra","Agra Fort","Monument","9/20/2023","2749","Cold","Monsoon","High","251"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","8/10/2023","473","Tropical","Summer","Low","29"
"Tamil Nadu","Chennai","Marina Beach","Beach","3/25/2023","55","Mountain","Monsoon","Moderate","3"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","5/16/2023","2061","Cold","Monsoon","Low","390"
"Sikkim","Gangtok","Tsomgo Lake","Lake","4/23/2023","1672","Tropical","Monsoon","Moderate","239"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","4/17/2023","464","Cold","Summer","Low","219"
"Meghalaya","Shillong","Living Root Bridges","Nature","12/5/2023","926","Hot-Dry","Summer","Moderate","118"
"Uttar Pradesh","Agra","Agra Fort","Monument","10/1/2023","488","Cold","Summer","Low","60"
"Ladakh","Leh","Pangong Lake","Lake","5/17/2023","1987","Tropical","Winter","Moderate","355"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","4/18/2023","3899","Tropical","Winter","High","116"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","9/2/2023","1803","Hot-Dry","Winter","Low","24"
"Punjab","Amritsar","Golden Temple","Temple","12/25/2023","1772","Cold","Monsoon","Low","323"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","10/27/2023","725","Mountain","Summer","Moderate","81"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","6/29/2023","842","Cold","Monsoon","Moderate","192"
"Telangana","Hyderabad","Charminar","Monument","7/13/2023","3719","Humid","Monsoon","High","146"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","12/1/2023","1807","Tropical","Winter","Low","187"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","10/14/2023","2216","Humid","Winter","Moderate","105"
"Meghalaya","Shillong","Living Root Bridges","Nature","5/29/2023","3981","Tropical","Monsoon","High","76"
"Odisha","Puri","Jagannath Temple","Temple","9/15/2023","398","Cold","Winter","Moderate","329"
"Telangana","Hyderabad","Golconda Fort","Fort","10/19/2023","3269","Cold","Winter","Moderate","169"
"Delhi","Delhi","India Gate","Monument","12/8/2023","2542","Tropical","Summer","High","389"
"West Bengal","Kolkata","Howrah Bridge","Bridge","7/20/2023","2769","Mountain","Winter","Low","283"
"Rajasthan","Jaipur","Hawa Mahal","Monument","10/17/2023","1711","Humid","Summer","Moderate","104"
"West Bengal","Kolkata","Victoria Memorial","Monument","12/26/2023","764","Humid","Summer","Low","247"
"Delhi","Delhi","Red Fort","Fort","4/6/2023","2400","Humid","Summer","Moderate","389"
"Goa","Goa","Baga Beach","Beach","2/13/2023","2466","Cold","Summer","High","398"
"Karnataka","Mysore","Mysore Palace","Palace","7/19/2023","1174","Hot-Dry","Summer","Low","83"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","4/11/2023","222","Cold","Winter","High","212"
"Punjab","Amritsar","Golden Temple","Temple","9/27/2023","1347","Tropical","Summer","Low","46"
"Odisha","Puri","Jagannath Temple","Temple","9/15/2023","3486","Humid","Monsoon","Moderate","235"
"Uttar Pradesh","Agra","Taj Mahal","Monument","7/23/2023","3558","Hot-Dry","Winter","High","223"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","11/2/2023","3270","Mountain","Winter","Low","32"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","10/9/2023","3708","Cold","Summer","Low","144"
"Rajasthan","Jaipur","Hawa Mahal","Monument","1/25/2023","611","Hot-Dry","Winter","High","192"
"Punjab","Amritsar","Golden Temple","Temple","6/9/2023","2307","Hot-Dry","Summer","Low","93"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","4/25/2023","3698","Hot-Dry","Winter","High","296"
"Maharashtra","Mumbai","Gateway of India","Monument","1/26/2023","2616","Tropical","Winter","High","283"
"Telangana","Hyderabad","Golconda Fort","Fort","10/3/2023","1401","Mountain","Monsoon","High","256"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","2/6/2023","559","Cold","Winter","Moderate","370"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","6/2/2023","1933","Humid","Monsoon","Low","331"
"Sikkim","Gangtok","Tsomgo Lake","Lake","1/17/2023","3361","Mountain","Winter","High","258"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","8/5/2023","349","Cold","Summer","Moderate","361"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","11/30/2023","264","Mountain","Monsoon","Low","122"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","7/14/2023","1543","Hot-Dry","Monsoon","Low","391"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","12/4/2023","3241","Cold","Winter","Low","247"
"Odisha","Puri","Jagannath Temple","Temple","5/19/2023","1540","Tropical","Monsoon","High","141"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","4/7/2023","1776","Hot-Dry","Winter","Low","192"
"Sikkim","Gangtok","Tsomgo Lake","Lake","5/24/2023","2330","Hot-Dry","Winter","Moderate","68"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","2/26/2023","1531","Hot-Dry","Winter","High","271"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","3/13/2023","1308","Tropical","Monsoon","Moderate","71"
"Rajasthan","Jaipur","Hawa Mahal","Monument","10/2/2023","2784","Cold","Summer","Low","225"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","5/19/2023","1867","Tropical","Winter","Low","362"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","12/7/2023","598","Humid","Monsoon","Low","154"
"Uttar Pradesh","Agra","Taj Mahal","Monument","6/23/2023","3674","Tropical","Monsoon","Moderate","312"
"Maharashtra","Mumbai","Marine Drive","Coastal","3/11/2023","1945","Mountain","Winter","High","312"
"Rajasthan","Jaipur","Amber Fort","Fort","5/27/2023","1672","Hot-Dry","Summer","High","136"
"Goa","Goa","Baga Beach","Beach","6/6/2023","347","Hot-Dry","Monsoon","Low","290"
"Tamil Nadu","Chennai","Marina Beach","Beach","1/3/2023","566","Cold","Monsoon","Moderate","237"
"Maharashtra","Mumbai","Gateway of India","Monument","9/22/2023","1791","Hot-Dry","Winter","Low","280"
"Rajasthan","Jaipur","Hawa Mahal","Monument","4/2/2023","1739","Mountain","Winter","Low","3"
"Uttar Pradesh","Agra","Taj Mahal","Monument","11/28/2023","2761","Mountain","Summer","High","392"
"Uttar Pradesh","Agra","Taj Mahal","Monument","1/17/2023","2487","Cold","Winter","High","98"
"Rajasthan","Udaipur","City Palace","Palace","3/22/2023","3443","Cold","Winter","Moderate","133"
"West Bengal","Kolkata","Victoria Memorial","Monument","8/11/2023","2599","Tropical","Monsoon","High","271"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","7/19/2023","3897","Humid","Monsoon","Moderate","254"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","7/14/2023","1147","Humid","Summer","Moderate","378"
"Rajasthan","Udaipur","City Palace","Palace","6/6/2023","3315","Hot-Dry","Winter","Low","374"
"Rajasthan","Jaipur","Amber Fort","Fort","8/21/2023","3818","Tropical","Monsoon","Moderate","400"
"Delhi","Delhi","India Gate","Monument","2/3/2023","3135","Humid","Summer","Moderate","375"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","3/30/2023","2169","Tropical","Winter","Low","221"
"Rajasthan","Jaipur","Hawa Mahal","Monument","10/29/2023","2639","Mountain","Monsoon","Low","341"
"Odisha","Puri","Jagannath Temple","Temple","2/15/2023","883","Hot-Dry","Winter","High","71"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","6/18/2023","2360","Humid","Summer","Moderate","275"
"Sikkim","Gangtok","Tsomgo Lake","Lake","6/29/2023","2083","Tropical","Summer","Low","178"
"West Bengal","Kolkata","Victoria Memorial","Monument","7/14/2023","3023","Humid","Monsoon","Moderate","257"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","3/3/2023","3334","Humid","Summer","High","166"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","2/26/2023","2598","Humid","Summer","Moderate","307"
"Maharashtra","Pune","Shaniwar Wada","Fort","1/24/2023","1609","Tropical","Summer","Moderate","57"
"Telangana","Hyderabad","Charminar","Monument","12/23/2023","3050","Hot-Dry","Winter","High","32"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","7/16/2023","60","Tropical","Winter","High","342"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","5/13/2023","153","Humid","Winter","High","324"
"Sikkim","Gangtok","Tsomgo Lake","Lake","7/29/2023","3762","Cold","Winter","Low","211"
"Ladakh","Leh","Pangong Lake","Lake","2/22/2023","1579","Humid","Summer","High","165"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","4/8/2023","2951","Mountain","Monsoon","Moderate","52"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","1/4/2023","1534","Tropical","Monsoon","Low","327"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","4/1/2023","3671","Cold","Summer","High","302"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","2/27/2023","1581","Cold","Winter","Low","159"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","4/15/2023","3760","Hot-Dry","Summer","Low","208"
"Uttar Pradesh","Agra","Taj Mahal","Monument","9/15/2023","3284","Tropical","Summer","High","154"
"Telangana","Hyderabad","Golconda Fort","Fort","7/3/2023","2903","Cold","Winter","High","71"
"Tamil Nadu","Chennai","Marina Beach","Beach","8/13/2023","18","Mountain","Winter","Moderate","81"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","2/14/2023","2897","Tropical","Summer","High","49"
"Telangana","Hyderabad","Golconda Fort","Fort","9/20/2023","2701","Hot-Dry","Summer","Low","295"
"Uttar Pradesh","Agra","Taj Mahal","Monument","8/19/2023","2377","Cold","Summer","High","397"
"Delhi","Delhi","India Gate","Monument","2/2/2023","322","Humid","Monsoon","Moderate","33"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","10/21/2023","1322","Tropical","Monsoon","Low","211"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","11/17/2023","2031","Tropical","Winter","Moderate","91"
"Rajasthan","Jaipur","Amber Fort","Fort","10/31/2023","1203","Cold","Winter","High","133"
"Karnataka","Mysore","Mysore Palace","Palace","7/29/2023","2096","Cold","Summer","High","27"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","12/25/2023","737","Mountain","Winter","Moderate","357"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","12/4/2023","976","Mountain","Monsoon","Low","156"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","7/13/2023","1221","Hot-Dry","Monsoon","Moderate","23"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","12/11/2023","2974","Hot-Dry","Monsoon","Moderate","128"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","5/3/2023","3221","Humid","Monsoon","Moderate","52"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","5/10/2023","2176","Humid","Summer","High","368"
"Goa","Goa","Baga Beach","Beach","9/7/2023","727","Tropical","Summer","Low","372"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","1/7/2023","2401","Tropical","Monsoon","High","17"
"Goa","Goa","Calangute Beach","Beach","12/2/2023","978","Cold","Winter","High","30"
"Lakshadweep","Lakshadweep","Agatti Island","Island","4/12/2023","3291","Hot-Dry","Monsoon","High","335"
"Delhi","Delhi","Red Fort","Fort","6/16/2023","1267","Mountain","Summer","Moderate","213"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","3/2/2023","2976","Cold","Winter","Low","351"
"Karnataka","Mysore","Mysore Palace","Palace","4/8/2023","3002","Tropical","Summer","Moderate","63"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","10/1/2023","2841","Cold","Summer","Moderate","57"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","9/26/2023","233","Tropical","Winter","Low","10"
"Rajasthan","Udaipur","City Palace","Palace","6/12/2023","161","Humid","Summer","Low","160"
"Odisha","Puri","Jagannath Temple","Temple","9/4/2023","991","Tropical","Monsoon","Moderate","51"
"Tamil Nadu","Chennai","Marina Beach","Beach","8/16/2023","308","Cold","Winter","Moderate","320"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","11/2/2023","3356","Humid","Summer","Moderate","106"
"Tamil Nadu","Chennai","Marina Beach","Beach","4/4/2023","3572","Mountain","Summer","High","317"
"Maharashtra","Mumbai","Gateway of India","Monument","8/3/2023","3882","Mountain","Monsoon","Moderate","0"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","2/12/2023","8","Mountain","Summer","Moderate","222"
"West Bengal","Kolkata","Howrah Bridge","Bridge","1/21/2023","3532","Humid","Monsoon","Low","384"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","1/24/2023","1619","Hot-Dry","Winter","Low","251"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","1/1/2024","2178","Cold","Monsoon","Moderate","147"
"Goa","Goa","Baga Beach","Beach","5/10/2023","1067","Cold","Monsoon","Moderate","67"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","6/13/2023","2886","Humid","Winter","Moderate","124"
"Uttar Pradesh","Agra","Agra Fort","Monument","2/22/2023","3098","Hot-Dry","Winter","High","98"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","5/6/2023","913","Hot-Dry","Winter","Low","164"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","9/25/2023","1894","Humid","Monsoon","Low","277"
"Goa","Goa","Calangute Beach","Beach","8/21/2023","2418","Tropical","Monsoon","Low","27"
"Maharashtra","Pune","Shaniwar Wada","Fort","10/5/2023","1741","Humid","Winter","Low","37"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","11/25/2023","1690","Mountain","Monsoon","Low","235"
"Gujarat","Somnath","Somnath Temple","Temple","6/18/2023","3971","Tropical","Monsoon","High","367"
"Maharashtra","Pune","Shaniwar Wada","Fort","2/17/2023","1002","Cold","Monsoon","Moderate","159"
"Tamil Nadu","Chennai","Marina Beach","Beach","2/10/2023","3798","Tropical","Summer","Moderate","360"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","3/10/2023","2265","Mountain","Monsoon","High","317"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","10/29/2023","3334","Humid","Summer","Low","107"
"Goa","Goa","Baga Beach","Beach","12/9/2023","3950","Mountain","Winter","Low","111"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","8/18/2023","2069","Humid","Summer","Moderate","105"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","2/9/2023","1153","Hot-Dry","Monsoon","High","118"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","10/22/2023","3126","Humid","Summer","Moderate","127"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","1/17/2023","1807","Hot-Dry","Summer","High","149"
"Kerala","Munnar","Tea Gardens","Nature","5/9/2023","3862","Mountain","Summer","Moderate","345"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","3/4/2023","2437","Mountain","Monsoon","Moderate","187"
"Rajasthan","Udaipur","City Palace","Palace","9/14/2023","1138","Tropical","Summer","High","11"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","2/28/2023","980","Hot-Dry","Summer","Low","109"
"Uttar Pradesh","Agra","Agra Fort","Monument","12/1/2023","659","Hot-Dry","Winter","High","267"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","10/28/2023","687","Mountain","Winter","Moderate","221"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","1/29/2023","793","Humid","Summer","High","332"
"Ladakh","Leh","Pangong Lake","Lake","3/5/2023","1403","Tropical","Summer","Low","119"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","5/23/2023","727","Tropical","Winter","Low","158"
"Telangana","Hyderabad","Golconda Fort","Fort","11/3/2023","287","Mountain","Summer","High","148"
"Karnataka","Hampi","Virupaksha Temple","Temple","3/11/2023","3707","Humid","Monsoon","Low","24"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","12/31/2023","859","Tropical","Summer","Moderate","392"
"Delhi","Delhi","India Gate","Monument","7/5/2023","3715","Tropical","Monsoon","Low","190"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","2/28/2023","3593","Cold","Winter","Moderate","239"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","3/22/2023","2601","Tropical","Summer","Low","106"
"Odisha","Puri","Jagannath Temple","Temple","2/26/2023","1653","Cold","Monsoon","Low","217"
"Punjab","Amritsar","Golden Temple","Temple","11/23/2023","1258","Tropical","Monsoon","Moderate","29"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","11/14/2023","917","Tropical","Summer","Moderate","148"
"Telangana","Hyderabad","Golconda Fort","Fort","7/13/2023","192","Humid","Winter","Moderate","233"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","10/25/2023","771","Mountain","Summer","Moderate","16"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","10/17/2023","3025","Tropical","Monsoon","Low","104"
"Rajasthan","Jaipur","Amber Fort","Fort","7/20/2023","1756","Mountain","Monsoon","High","272"
"Ladakh","Leh","Pangong Lake","Lake","8/25/2023","1742","Hot-Dry","Summer","Moderate","76"
"Karnataka","Hampi","Virupaksha Temple","Temple","5/6/2023","1502","Humid","Summer","High","144"
"West Bengal","Kolkata","Howrah Bridge","Bridge","5/28/2023","3010","Hot-Dry","Monsoon","Low","269"
"Meghalaya","Shillong","Living Root Bridges","Nature","1/28/2023","1718","Hot-Dry","Winter","Low","72"
"Karnataka","Mysore","Mysore Palace","Palace","7/5/2023","3750","Humid","Summer","Moderate","68"
"Delhi","Delhi","India Gate","Monument","8/9/2023","2132","Cold","Winter","Moderate","76"
"Meghalaya","Shillong","Living Root Bridges","Nature","8/8/2023","325","Mountain","Winter","Low","257"
"Sikkim","Gangtok","Tsomgo Lake","Lake","3/29/2023","355","Mountain","Monsoon","High","44"
"Maharashtra","Mumbai","Marine Drive","Coastal","8/3/2023","3343","Hot-Dry","Winter","Moderate","46"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","2/26/2023","2218","Humid","Summer","Low","366"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","12/27/2023","1517","Tropical","Monsoon","Moderate","290"
"Odisha","Puri","Jagannath Temple","Temple","6/16/2023","695","Cold","Monsoon","Moderate","25"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","4/30/2023","2952","Humid","Summer","Moderate","34"
"Telangana","Hyderabad","Charminar","Monument","2/1/2023","2455","Tropical","Monsoon","Moderate","97"
"Rajasthan","Jaipur","Amber Fort","Fort","2/3/2023","831","Mountain","Summer","Moderate","308"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","6/17/2023","3046","Humid","Summer","Moderate","190"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","9/3/2023","370","Humid","Winter","High","30"
"Lakshadweep","Lakshadweep","Agatti Island","Island","7/19/2023","2171","Tropical","Summer","Low","15"
"Kerala","Munnar","Tea Gardens","Nature","4/15/2023","1578","Cold","Monsoon","Low","335"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","4/25/2023","2034","Humid","Summer","High","327"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","6/4/2023","1101","Cold","Winter","Low","24"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","9/12/2023","3464","Mountain","Winter","Moderate","367"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","4/5/2023","2478","Humid","Winter","High","60"
"Meghalaya","Shillong","Living Root Bridges","Nature","12/2/2023","429","Humid","Winter","High","273"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","3/22/2023","449","Humid","Summer","Moderate","63"
"Tamil Nadu","Chennai","Marina Beach","Beach","5/10/2023","1450","Cold","Winter","High","345"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","4/28/2023","1398","Humid","Summer","High","334"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","1/11/2023","1002","Mountain","Summer","High","136"
"Telangana","Hyderabad","Golconda Fort","Fort","6/15/2023","3391","Tropical","Winter","Moderate","221"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","8/13/2023","1690","Mountain","Summer","Moderate","288"
"Rajasthan","Udaipur","City Palace","Palace","11/29/2023","147","Humid","Monsoon","High","278"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","3/20/2023","742","Tropical","Summer","Low","221"
"Punjab","Amritsar","Golden Temple","Temple","8/16/2023","893","Mountain","Monsoon","Low","192"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","3/28/2023","2656","Humid","Winter","Moderate","68"
"Telangana","Hyderabad","Charminar","Monument","8/14/2023","344","Tropical","Summer","High","300"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","12/27/2023","730","Mountain","Summer","Low","74"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","3/22/2023","3548","Cold","Summer","Moderate","216"
"West Bengal","Kolkata","Victoria Memorial","Monument","3/13/2023","1230","Tropical","Monsoon","Low","42"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","2/13/2023","76","Mountain","Summer","High","116"
"West Bengal","Kolkata","Howrah Bridge","Bridge","5/5/2023","2224","Cold","Monsoon","High","240"
"Lakshadweep","Lakshadweep","Agatti Island","Island","11/5/2023","2098","Hot-Dry","Monsoon","High","90"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","12/15/2023","175","Hot-Dry","Winter","High","393"
"Rajasthan","Jaipur","Hawa Mahal","Monument","7/29/2023","1478","Hot-Dry","Winter","Low","314"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","7/15/2023","1826","Cold","Summer","Moderate","280"
"Maharashtra","Mumbai","Gateway of India","Monument","9/14/2023","2042","Mountain","Summer","High","50"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","7/18/2023","54","Tropical","Monsoon","Low","115"
"Maharashtra","Mumbai","Gateway of India","Monument","11/4/2023","886","Cold","Monsoon","Moderate","360"
"Goa","Goa","Calangute Beach","Beach","12/10/2023","2897","Hot-Dry","Summer","High","284"
"Delhi","Delhi","India Gate","Monument","5/15/2023","1720","Humid","Winter","Low","90"
"Ladakh","Leh","Pangong Lake","Lake","11/22/2023","3519","Mountain","Summer","High","325"
"Maharashtra","Mumbai","Gateway of India","Monument","5/21/2023","1956","Tropical","Monsoon","Low","394"
"Maharashtra","Mumbai","Gateway of India","Monument","1/28/2023","423","Humid","Winter","Low","74"
"Ladakh","Leh","Pangong Lake","Lake","4/8/2023","943","Humid","Summer","High","3"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","7/1/2023","3020","Cold","Monsoon","Low","389"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","10/24/2023","3118","Humid","Summer","High","272"
"Goa","Goa","Baga Beach","Beach","12/18/2023","3455","Tropical","Monsoon","Low","321"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","7/2/2023","3733","Cold","Monsoon","High","387"
"Karnataka","Mysore","Mysore Palace","Palace","1/6/2023","2597","Cold","Monsoon","Moderate","391"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","10/6/2023","2632","Mountain","Monsoon","Low","135"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","7/30/2023","3640","Tropical","Summer","Moderate","382"
"Karnataka","Hampi","Virupaksha Temple","Temple","5/17/2023","1189","Humid","Winter","Low","299"
"Telangana","Hyderabad","Golconda Fort","Fort","11/26/2023","241","Hot-Dry","Winter","Moderate","364"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","6/1/2023","3511","Hot-Dry","Summer","High","119"
"Telangana","Hyderabad","Charminar","Monument","5/18/2023","255","Hot-Dry","Monsoon","High","192"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","8/23/2023","2888","Hot-Dry","Monsoon","Moderate","88"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","2/17/2023","207","Tropical","Winter","Low","366"
"Meghalaya","Shillong","Living Root Bridges","Nature","6/10/2023","824","Mountain","Winter","High","391"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","12/18/2023","355","Mountain","Winter","High","198"
"Kerala","Kochi","Fort Kochi","Heritage","2/4/2023","1657","Mountain","Summer","Moderate","320"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","10/20/2023","2817","Mountain","Winter","Low","3"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","4/13/2023","2195","Cold","Winter","Low","54"
"Maharashtra","Mumbai","Marine Drive","Coastal","6/7/2023","975","Humid","Winter","High","381"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","11/16/2023","3795","Mountain","Winter","Moderate","210"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","11/7/2023","3387","Humid","Winter","Moderate","140"
"Delhi","Delhi","India Gate","Monument","11/12/2023","649","Humid","Winter","High","108"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","9/11/2023","1555","Mountain","Monsoon","Moderate","133"
"Tamil Nadu","Chennai","Marina Beach","Beach","3/22/2023","2988","Mountain","Monsoon","Low","92"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","11/19/2023","2968","Tropical","Winter","Low","110"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","4/2/2023","502","Humid","Winter","Low","363"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","2/8/2023","3915","Hot-Dry","Summer","Low","108"
"Maharashtra","Mumbai","Gateway of India","Monument","12/17/2023","3005","Humid","Monsoon","High","256"
"Rajasthan","Jaipur","Hawa Mahal","Monument","4/5/2023","1755","Cold","Monsoon","Low","315"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","11/29/2023","1003","Tropical","Monsoon","Moderate","300"
