disease_name,severity,medications,safety_tips,precautions,risk_level
Skin Infection,Moderate,Antihistamine; Antibiotics; Paracetamol; Steroids,Take adequate rest; Monitor symptoms regularly; Wear protective mask; Stay hydrated,Carry emergency kit; Avoid allergens; Follow medication schedule,Low
Chickenpox,Moderate,ORS; Steroids; Pain Reliever; Antimalarial,Stay hydrated; Avoid extreme temperatures; Take adequate rest; Monitor symptoms regularly,Use mosquito repellent; Avoid allergens; Follow medication schedule,Low
Back Pain,Low,Bronchodilator; Antihistamine,Avoid crowded places; Carry prescribed medicines; Take adequate rest; Avoid extreme temperatures,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Low
Asthma,High,Antihistamine; Ibuprofen,Avoid extreme temperatures; Stay hydrated; Avoid crowded places; Maintain hygiene,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Moderate
Kidney Disease,High,ORS; Ibuprofen,Carry prescribed medicines; Take adequate rest; Avoid crowded places; Maintain hygiene,Follow medication schedule; Consult doctor before travel; Carry emergency kit,Moderate
Dehydration,Moderate,Steroids; Antivirals; Paracetamol,Maintain hygiene; Stay hydrated; Avoid extreme temperatures; Wear protective mask,Carry emergency kit; Use mosquito repellent; Follow medication schedule,Moderate
Sinusitis,Moderate,Ibuprofen; Insulin,Avoid extreme temperatures; Wear protective mask; Stay hydrated; Take adequate rest,Carry emergency kit; Avoid allergens; Use mosquito repellent,Low
Diabetes,High,Paracetamol; Bronchodilator; Pain Reliever; Ibuprofen,Take adequate rest; Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated,Avoid heavy physical activity; Follow medication schedule; Use mosquito repellent,Moderate
Rabies,High,Bronchodilator; Paracetamol,Wear protective mask; Avoid extreme temperatures; Maintain hygiene; Carry prescribed medicines,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Critical
Malaria,High,Paracetamol; Ibuprofen,Carry prescribed medicines; Monitor symptoms regularly; Take adequate rest; Avoid crowded places,Consult doctor before travel; Use mosquito repellent; Avoid allergens,Moderate
Vitamin B12 Deficiency,High,Antimalarial; ORS; Steroids; Antihistamine,Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly; Wear protective mask,Use mosquito repellent; Carry emergency kit; Consult doctor before travel,Critical
HIV/AIDS,Low,Bronchodilator; Antimalarial,Avoid extreme temperatures; Take adequate rest; Monitor symptoms regularly; Wear protective mask,Follow medication schedule; Use mosquito repellent; Carry emergency kit,Low
Arthritis,Low,Antivirals; Steroids; Paracetamol,Avoid extreme temperatures; Take adequate rest; Carry prescribed medicines; Avoid crowded places,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,High
Asthma,Low,Paracetamol; ORS; Antihistamine,Wear protective mask; Monitor symptoms regularly; Avoid crowded places; Carry prescribed medicines,Follow medication schedule; Carry emergency kit; Use mosquito repellent,Critical
Anemia,Low,Antivirals; Antimalarial; Insulin,Avoid crowded places; Take adequate rest; Avoid extreme temperatures; Maintain hygiene,Carry emergency kit; Follow medication schedule; Use mosquito repellent,Moderate
Pneumonia,High,Antivirals; Ibuprofen; Antihistamine,Take adequate rest; Avoid crowded places; Wear protective mask; Avoid extreme temperatures,Use mosquito repellent; Avoid heavy physical activity; Avoid allergens,Low
Hepatitis,Moderate,Antimalarial; Steroids,Avoid extreme temperatures; Monitor symptoms regularly; Take adequate rest; Wear protective mask,Use mosquito repellent; Avoid allergens; Follow medication schedule,Critical
Varicose Veins,Moderate,Insulin; Ibuprofen; Antibiotics; Paracetamol,Carry prescribed medicines; Maintain hygiene; Avoid crowded places; Monitor symptoms regularly,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,Low
Vitamin D Deficiency,Moderate,ORS; Antihistamine; Pain Reliever; Paracetamol,Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly; Stay hydrated,Consult doctor before travel; Carry emergency kit; Follow medication schedule,Critical
Typhoid,High,Antivirals; Antihistamine; Antibiotics,Avoid crowded places; Stay hydrated; Avoid extreme temperatures; Maintain hygiene,Consult doctor before travel; Avoid allergens; Use mosquito repellent,Moderate
Ulcer,Moderate,Steroids; Antivirals; Pain Reliever,Take adequate rest; Avoid extreme temperatures; Carry prescribed medicines; Avoid crowded places,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Moderate
Diabetes,Low,ORS; Ibuprofen,Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures; Wear protective mask,Carry emergency kit; Consult doctor before travel; Avoid allergens,Critical
IBS,Moderate,Antihistamine; Bronchodilator,Wear protective mask; Avoid extreme temperatures; Stay hydrated; Avoid crowded places,Use mosquito repellent; Follow medication schedule; Consult doctor before travel,Moderate
Flu,Low,Antihistamine; Ibuprofen; Antimalarial,Avoid crowded places; Maintain hygiene; Take adequate rest; Avoid extreme temperatures,Avoid allergens; Follow medication schedule; Consult doctor before travel,Low
Typhoid,Moderate,Ibuprofen; Pain Reliever; Antihistamine,Maintain hygiene; Avoid crowded places; Monitor symptoms regularly; Carry prescribed medicines,Avoid allergens; Follow medication schedule; Carry emergency kit,High
Flu,Low,ORS; Ibuprofen,Avoid crowded places; Stay hydrated; Wear protective mask; Take adequate rest,Avoid allergens; Consult doctor before travel; Follow medication schedule,High
Anemia,Moderate,Paracetamol; Steroids; Antimalarial; ORS,Carry prescribed medicines; Avoid crowded places; Monitor symptoms regularly; Wear protective mask,Carry emergency kit; Avoid allergens; Avoid heavy physical activity,Critical
Multiple Sclerosis,High,Antibiotics; Antivirals,Avoid crowded places; Monitor symptoms regularly; Wear protective mask; Take adequate rest,Use mosquito repellent; Consult doctor before travel; Avoid heavy physical activity,Moderate
Lyme Disease,High,Steroids; Ibuprofen,Maintain hygiene; Take adequate rest; Wear protective mask; Carry prescribed medicines,Follow medication schedule; Avoid heavy physical activity; Consult doctor before travel,High
Skin Infection,High,Antivirals; Pain Reliever; Paracetamol,Take adequate rest; Monitor symptoms regularly; Avoid crowded places; Maintain hygiene,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,Low
Asthma,Moderate,Steroids; Antimalarial; Bronchodilator; ORS,Stay hydrated; Take adequate rest; Avoid extreme temperatures; Carry prescribed medicines,Follow medication schedule; Consult doctor before travel; Avoid allergens,Critical
Celiac Disease,Low,ORS; Paracetamol,Avoid crowded places; Stay hydrated; Monitor symptoms regularly; Wear protective mask,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Critical
Osteoporosis,High,Antihistamine; Insulin,Avoid extreme temperatures; Carry prescribed medicines; Maintain hygiene; Take adequate rest,Avoid allergens; Use mosquito repellent; Carry emergency kit,Moderate
Parkinson's Disease,Low,Insulin; Steroids; Pain Reliever,Take adequate rest; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Use mosquito repellent; Avoid allergens; Consult doctor before travel,High
Scabies,High,Paracetamol; Ibuprofen; Steroids; Pain Reliever,Carry prescribed medicines; Stay hydrated; Maintain hygiene; Avoid crowded places,Carry emergency kit; Consult doctor before travel; Follow medication schedule,High
COVID-19,High,ORS; Antimalarial; Antivirals; Antibiotics,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Carry prescribed medicines,Consult doctor before travel; Carry emergency kit; Follow medication schedule,High
COVID-19,Low,Pain Reliever; Bronchodilator; ORS; Antimalarial,Stay hydrated; Maintain hygiene; Avoid extreme temperatures; Avoid crowded places,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,Low
Epilepsy,Low,Pain Reliever; ORS; Antibiotics,Take adequate rest; Wear protective mask; Maintain hygiene; Monitor symptoms regularly,Carry emergency kit; Follow medication schedule; Avoid heavy physical activity,Moderate
Ear Infection,High,Steroids; Insulin; Paracetamol,Stay hydrated; Avoid extreme temperatures; Wear protective mask; Take adequate rest,Carry emergency kit; Follow medication schedule; Consult doctor before travel,High
Ulcer,Low,Ibuprofen; Insulin,Avoid extreme temperatures; Take adequate rest; Wear protective mask; Maintain hygiene,Use mosquito repellent; Carry emergency kit; Follow medication schedule,High
Neck Pain,Low,Antivirals; Antimalarial; Pain Reliever; Insulin,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Wear protective mask,Avoid heavy physical activity; Consult doctor before travel; Use mosquito repellent,Moderate
Ringworm,High,Insulin; Ibuprofen,Maintain hygiene; Carry prescribed medicines; Wear protective mask; Take adequate rest,Use mosquito repellent; Consult doctor before travel; Follow medication schedule,High
Dengue,High,Antibiotics; Insulin,Wear protective mask; Avoid extreme temperatures; Monitor symptoms regularly; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Low
Altitude Sickness,Moderate,Paracetamol; Insulin; Antimalarial; Antivirals,Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly; Take adequate rest,Follow medication schedule; Consult doctor before travel; Avoid heavy physical activity,Critical
Malaria,Moderate,Paracetamol; Steroids; Insulin; Antihistamine,Take adequate rest; Wear protective mask; Maintain hygiene; Carry prescribed medicines,Carry emergency kit; Use mosquito repellent; Follow medication schedule,High
Psoriasis,Moderate,Bronchodilator; ORS; Insulin; Antimalarial,Carry prescribed medicines; Maintain hygiene; Avoid extreme temperatures; Stay hydrated,Avoid allergens; Follow medication schedule; Consult doctor before travel,Low
Gastritis,Low,Antivirals; Paracetamol; Bronchodilator,Maintain hygiene; Monitor symptoms regularly; Carry prescribed medicines; Avoid crowded places,Consult doctor before travel; Follow medication schedule; Avoid allergens,Moderate
Liver Disease,Low,Ibuprofen; Paracetamol; ORS,Maintain hygiene; Monitor symptoms regularly; Take adequate rest; Stay hydrated,Consult doctor before travel; Follow medication schedule; Avoid allergens,High
Asthma,Moderate,Steroids; Antibiotics; Insulin; Antivirals,Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures,Carry emergency kit; Use mosquito repellent; Consult doctor before travel,Critical
Parkinson's Disease,High,Steroids; Bronchodilator; Insulin; Antivirals,Avoid crowded places; Maintain hygiene; Monitor symptoms regularly; Carry prescribed medicines,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,High
Anemia,Low,Antimalarial; Antivirals; Paracetamol,Avoid crowded places; Stay hydrated; Monitor symptoms regularly; Carry prescribed medicines,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,High
Heat Stroke,High,Insulin; Bronchodilator; Antimalarial,Avoid extreme temperatures; Carry prescribed medicines; Maintain hygiene; Avoid crowded places,Use mosquito repellent; Avoid heavy physical activity; Follow medication schedule,Low
Alzheimer's,Moderate,Ibuprofen; Antimalarial,Wear protective mask; Take adequate rest; Monitor symptoms regularly; Stay hydrated,Carry emergency kit; Use mosquito repellent; Avoid allergens,High
Insomnia,Moderate,Insulin; Antimalarial; ORS,Carry prescribed medicines; Monitor symptoms regularly; Wear protective mask; Stay hydrated,Consult doctor before travel; Carry emergency kit; Avoid allergens,Moderate
Obesity,High,Insulin; Paracetamol; ORS; Antihistamine,Monitor symptoms regularly; Take adequate rest; Carry prescribed medicines; Avoid crowded places,Use mosquito repellent; Consult doctor before travel; Avoid allergens,Low
Vitamin B12 Deficiency,High,Ibuprofen; Insulin; ORS; Bronchodilator,Carry prescribed medicines; Wear protective mask; Monitor symptoms regularly; Take adequate rest,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Critical
Obesity,Moderate,Bronchodilator; Antivirals; Antihistamine,Take adequate rest; Monitor symptoms regularly; Wear protective mask; Stay hydrated,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,Critical
Stroke,High,Bronchodilator; ORS; Paracetamol,Avoid crowded places; Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly,Carry emergency kit; Avoid heavy physical activity; Avoid allergens,Low
Arthritis,Moderate,Insulin; Ibuprofen; Pain Reliever; Paracetamol,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Stay hydrated,Follow medication schedule; Use mosquito repellent; Avoid heavy physical activity,Low
Multiple Sclerosis,High,Antihistamine; Pain Reliever; Bronchodilator,Avoid extreme temperatures; Stay hydrated; Maintain hygiene; Monitor symptoms regularly,Avoid heavy physical activity; Follow medication schedule; Use mosquito repellent,Critical
Deep Vein Thrombosis,Moderate,Ibuprofen; Antivirals,Take adequate rest; Monitor symptoms regularly; Carry prescribed medicines; Maintain hygiene,Consult doctor before travel; Use mosquito repellent; Avoid heavy physical activity,Critical
Hepatitis,Low,Antibiotics; Bronchodilator; Ibuprofen; Paracetamol,Avoid extreme temperatures; Carry prescribed medicines; Maintain hygiene; Avoid crowded places,Use mosquito repellent; Consult doctor before travel; Avoid heavy physical activity,Low
Thyroid Disorder,High,Ibuprofen; Antihistamine; Antivirals,Avoid crowded places; Monitor symptoms regularly; Avoid extreme temperatures; Maintain hygiene,Consult doctor before travel; Use mosquito repellent; Avoid allergens,High
Bronchial Infection,High,Ibuprofen; Antibiotics,Avoid extreme temperatures; Take adequate rest; Maintain hygiene; Avoid crowded places,Avoid allergens; Use mosquito repellent; Avoid heavy physical activity,Moderate
Fungal Infection,Moderate,Ibuprofen; Steroids,Avoid extreme temperatures; Avoid crowded places; Wear protective mask; Monitor symptoms regularly,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Low
IBS,Moderate,Insulin; Antimalarial; ORS; Bronchodilator,Wear protective mask; Stay hydrated; Maintain hygiene; Take adequate rest,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Low
Flu,Moderate,ORS; Antibiotics,Maintain hygiene; Avoid extreme temperatures; Wear protective mask; Stay hydrated,Avoid allergens; Carry emergency kit; Avoid heavy physical activity,High
Anemia,Moderate,Paracetamol; Antimalarial; Steroids,Stay hydrated; Monitor symptoms regularly; Carry prescribed medicines; Maintain hygiene,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Critical
Obesity,Moderate,Antibiotics; Bronchodilator; Paracetamol,Avoid extreme temperatures; Carry prescribed medicines; Maintain hygiene; Avoid crowded places,Follow medication schedule; Avoid allergens; Carry emergency kit,Moderate
Varicose Veins,Low,Antivirals; Ibuprofen; Antibiotics; Bronchodilator,Avoid crowded places; Monitor symptoms regularly; Carry prescribed medicines; Wear protective mask,Avoid allergens; Carry emergency kit; Consult doctor before travel,High
Malaria,Low,Antihistamine; Paracetamol,Stay hydrated; Avoid extreme temperatures; Carry prescribed medicines; Take adequate rest,Use mosquito repellent; Avoid allergens; Avoid heavy physical activity,Moderate
Neck Pain,High,Pain Reliever; Paracetamol; Antimalarial; Antivirals,Maintain hygiene; Monitor symptoms regularly; Stay hydrated; Carry prescribed medicines,Follow medication schedule; Avoid allergens; Consult doctor before travel,High
Food Poisoning,High,Ibuprofen; ORS; Insulin; Antihistamine,Avoid extreme temperatures; Take adequate rest; Carry prescribed medicines; Stay hydrated,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Critical
Malaria,Low,Antihistamine; Steroids,Wear protective mask; Avoid extreme temperatures; Take adequate rest; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,High
Polio,Low,Antihistamine; Insulin; Antivirals; ORS,Avoid crowded places; Avoid extreme temperatures; Monitor symptoms regularly; Take adequate rest,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Critical
Epilepsy,High,Ibuprofen; ORS,Avoid crowded places; Carry prescribed medicines; Wear protective mask; Take adequate rest,Follow medication schedule; Avoid allergens; Avoid heavy physical activity,Critical
Hepatitis,High,Antibiotics; Antimalarial,Avoid extreme temperatures; Carry prescribed medicines; Stay hydrated; Avoid crowded places,Use mosquito repellent; Consult doctor before travel; Carry emergency kit,Critical
Stroke,High,Paracetamol; Antibiotics,Avoid extreme temperatures; Wear protective mask; Stay hydrated; Take adequate rest,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,Critical
Flu,Moderate,Steroids; Bronchodilator; Paracetamol,Carry prescribed medicines; Maintain hygiene; Take adequate rest; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,Moderate
Sinusitis,High,Steroids; Ibuprofen; Insulin,Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures; Take adequate rest,Use mosquito repellent; Avoid heavy physical activity; Avoid allergens,Critical
Fungal Infection,Moderate,Insulin; Antibiotics; ORS; Paracetamol,Wear protective mask; Avoid crowded places; Take adequate rest; Carry prescribed medicines,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,High
Cold,High,Antimalarial; Bronchodilator,Carry prescribed medicines; Avoid extreme temperatures; Avoid crowded places; Take adequate rest,Avoid allergens; Consult doctor before travel; Carry emergency kit,Low
Dengue,Moderate,Ibuprofen; Antimalarial; Bronchodilator,Carry prescribed medicines; Avoid extreme temperatures; Stay hydrated; Take adequate rest,Carry emergency kit; Follow medication schedule; Use mosquito repellent,Critical
Lyme Disease,Low,Paracetamol; Insulin; Pain Reliever,Wear protective mask; Avoid crowded places; Avoid extreme temperatures; Stay hydrated,Carry emergency kit; Consult doctor before travel; Use mosquito repellent,High
Tuberculosis,Moderate,Antibiotics; Antimalarial; Pain Reliever,Avoid crowded places; Wear protective mask; Avoid extreme temperatures; Carry prescribed medicines,Follow medication schedule; Avoid allergens; Use mosquito repellent,High
Gallstones,Moderate,ORS; Ibuprofen; Insulin; Antibiotics,Carry prescribed medicines; Wear protective mask; Monitor symptoms regularly; Avoid crowded places,Avoid heavy physical activity; Follow medication schedule; Avoid allergens,Low
Heart Disease,Moderate,Paracetamol; Antivirals; Insulin,Take adequate rest; Carry prescribed medicines; Monitor symptoms regularly; Stay hydrated,Use mosquito repellent; Avoid allergens; Carry emergency kit,High
Depression,High,Antihistamine; Antivirals,Wear protective mask; Stay hydrated; Carry prescribed medicines; Maintain hygiene,Carry emergency kit; Avoid allergens; Follow medication schedule,Moderate
Appendicitis,High,Pain Reliever; Antihistamine; Antivirals; Ibuprofen,Avoid extreme temperatures; Wear protective mask; Carry prescribed medicines; Stay hydrated,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,Low
Neck Pain,High,ORS; Antivirals; Antibiotics; Steroids,Monitor symptoms regularly; Wear protective mask; Avoid crowded places; Avoid extreme temperatures,Avoid allergens; Carry emergency kit; Avoid heavy physical activity,Moderate
Ringworm,Low,Antimalarial; Antihistamine,Avoid extreme temperatures; Wear protective mask; Maintain hygiene; Avoid crowded places,Carry emergency kit; Follow medication schedule; Consult doctor before travel,Moderate
Malaria,Low,Antibiotics; Bronchodilator; Pain Reliever,Wear protective mask; Avoid crowded places; Monitor symptoms regularly; Carry prescribed medicines,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,High
IBS,High,Paracetamol; Bronchodilator,Carry prescribed medicines; Avoid extreme temperatures; Wear protective mask; Stay hydrated,Use mosquito repellent; Avoid allergens; Avoid heavy physical activity,Critical
Asthma,High,Antimalarial; Antivirals; Bronchodilator,Monitor symptoms regularly; Maintain hygiene; Carry prescribed medicines; Stay hydrated,Use mosquito repellent; Avoid heavy physical activity; Avoid allergens,High
IBS,High,Bronchodilator; Antimalarial,Wear protective mask; Avoid crowded places; Carry prescribed medicines; Maintain hygiene,Carry emergency kit; Avoid heavy physical activity; Use mosquito repellent,Critical
Ringworm,Moderate,ORS; Antibiotics; Antivirals; Paracetamol,Avoid extreme temperatures; Monitor symptoms regularly; Avoid crowded places; Take adequate rest,Follow medication schedule; Carry emergency kit; Avoid heavy physical activity,Low
Liver Disease,Moderate,Pain Reliever; Antivirals; Paracetamol,Maintain hygiene; Carry prescribed medicines; Take adequate rest; Monitor symptoms regularly,Avoid allergens; Consult doctor before travel; Avoid heavy physical activity,Moderate
Vitamin D Deficiency,High,ORS; Steroids,Stay hydrated; Avoid extreme temperatures; Carry prescribed medicines; Monitor symptoms regularly,Use mosquito repellent; Follow medication schedule; Avoid allergens,Critical
Heart Disease,High,Insulin; Steroids,Avoid extreme temperatures; Maintain hygiene; Take adequate rest; Avoid crowded places,Carry emergency kit; Follow medication schedule; Consult doctor before travel,High
Varicose Veins,Moderate,ORS; Pain Reliever; Bronchodilator; Antihistamine,Stay hydrated; Monitor symptoms regularly; Wear protective mask; Avoid extreme temperatures,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,High
Arthritis,Moderate,Antibiotics; Paracetamol; Antimalarial,Maintain hygiene; Take adequate rest; Monitor symptoms regularly; Avoid extreme temperatures,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,High
Deep Vein Thrombosis,Moderate,Bronchodilator; Antivirals; Antimalarial,Avoid extreme temperatures; Monitor symptoms regularly; Maintain hygiene; Take adequate rest,Consult doctor before travel; Carry emergency kit; Use mosquito repellent,High
Deep Vein Thrombosis,High,Paracetamol; ORS,Carry prescribed medicines; Stay hydrated; Avoid crowded places; Monitor symptoms regularly,Follow medication schedule; Avoid allergens; Carry emergency kit,High
Malaria,High,Bronchodilator; Ibuprofen,Stay hydrated; Carry prescribed medicines; Avoid crowded places; Avoid extreme temperatures,Consult doctor before travel; Carry emergency kit; Avoid heavy physical activity,Critical
Ulcer,Moderate,Antibiotics; Pain Reliever; Ibuprofen; Antihistamine,Carry prescribed medicines; Avoid extreme temperatures; Wear protective mask; Stay hydrated,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,Low
Gastritis,Low,Steroids; Paracetamol; Antihistamine,Monitor symptoms regularly; Maintain hygiene; Carry prescribed medicines; Avoid crowded places,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,Low
Hypertension,Low,Bronchodilator; ORS,Wear protective mask; Avoid crowded places; Monitor symptoms regularly; Take adequate rest,Carry emergency kit; Avoid allergens; Avoid heavy physical activity,Critical
Ulcer,High,Paracetamol; Ibuprofen; Antihistamine,Stay hydrated; Carry prescribed medicines; Take adequate rest; Avoid crowded places,Follow medication schedule; Consult doctor before travel; Avoid heavy physical activity,Low
Cancer,Moderate,Ibuprofen; Insulin; Paracetamol; Bronchodilator,Maintain hygiene; Avoid crowded places; Wear protective mask; Stay hydrated,Avoid allergens; Carry emergency kit; Consult doctor before travel,Low
Skin Infection,Moderate,Antivirals; Paracetamol; Antimalarial; Ibuprofen,Take adequate rest; Wear protective mask; Maintain hygiene; Stay hydrated,Carry emergency kit; Use mosquito repellent; Avoid allergens,Critical
Tuberculosis,Low,Antimalarial; Antivirals; ORS; Paracetamol,Take adequate rest; Monitor symptoms regularly; Maintain hygiene; Avoid crowded places,Avoid allergens; Carry emergency kit; Avoid heavy physical activity,Moderate
Sleep Apnea,Low,Antimalarial; Antibiotics; Pain Reliever,Take adequate rest; Stay hydrated; Maintain hygiene; Monitor symptoms regularly,Carry emergency kit; Avoid allergens; Consult doctor before travel,Low
Cancer,High,Pain Reliever; Ibuprofen,Stay hydrated; Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures,Use mosquito repellent; Carry emergency kit; Avoid allergens,Moderate
Anemia,Low,Paracetamol; ORS; Antihistamine; Antivirals,Wear protective mask; Avoid crowded places; Monitor symptoms regularly; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,Low
Kidney Disease,High,Antimalarial; Ibuprofen,Stay hydrated; Maintain hygiene; Wear protective mask; Avoid extreme temperatures,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Low
Ear Infection,Moderate,Antivirals; Antihistamine; Antimalarial; Insulin,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Avoid crowded places,Use mosquito repellent; Avoid heavy physical activity; Carry emergency kit,Critical
Back Pain,Moderate,Bronchodilator; Antihistamine; Antivirals,Carry prescribed medicines; Stay hydrated; Avoid crowded places; Maintain hygiene,Consult doctor before travel; Avoid allergens; Carry emergency kit,Low
Malaria,Low,ORS; Ibuprofen,Take adequate rest; Wear protective mask; Avoid crowded places; Stay hydrated,Follow medication schedule; Avoid allergens; Use mosquito repellent,High
Bronchitis,Low,Antihistamine; Steroids,Monitor symptoms regularly; Take adequate rest; Carry prescribed medicines; Stay hydrated,Carry emergency kit; Avoid heavy physical activity; Consult doctor before travel,Low
Depression,Moderate,Antihistamine; Paracetamol,Wear protective mask; Maintain hygiene; Monitor symptoms regularly; Carry prescribed medicines,Consult doctor before travel; Carry emergency kit; Use mosquito repellent,Moderate
Psoriasis,High,Paracetamol; Insulin,Stay hydrated; Monitor symptoms regularly; Carry prescribed medicines; Avoid extreme temperatures,Use mosquito repellent; Avoid heavy physical activity; Follow medication schedule,Moderate
Motion Sickness,Moderate,ORS; Bronchodilator; Pain Reliever,Wear protective mask; Monitor symptoms regularly; Avoid extreme temperatures; Maintain hygiene,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,High
Food Poisoning,Low,Antivirals; Ibuprofen,Avoid crowded places; Avoid extreme temperatures; Take adequate rest; Maintain hygiene,Consult doctor before travel; Carry emergency kit; Avoid heavy physical activity,Low
Appendicitis,High,Antivirals; Pain Reliever; Insulin; ORS,Wear protective mask; Maintain hygiene; Avoid extreme temperatures; Take adequate rest,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Moderate
Anxiety,High,ORS; Antimalarial; Steroids,Stay hydrated; Wear protective mask; Carry prescribed medicines; Monitor symptoms regularly,Consult doctor before travel; Carry emergency kit; Avoid allergens,Moderate
Epilepsy,Low,Antimalarial; ORS,Avoid extreme temperatures; Monitor symptoms regularly; Wear protective mask; Take adequate rest,Avoid heavy physical activity; Use mosquito repellent; Consult doctor before travel,Low
Flu,High,Antimalarial; Pain Reliever; Antibiotics,Monitor symptoms regularly; Stay hydrated; Maintain hygiene; Avoid crowded places,Use mosquito repellent; Carry emergency kit; Consult doctor before travel,Moderate
Stroke,High,Antivirals; Insulin; Steroids; Bronchodilator,Wear protective mask; Carry prescribed medicines; Avoid extreme temperatures; Avoid crowded places,Follow medication schedule; Use mosquito repellent; Carry emergency kit,Low
Rabies,Low,Ibuprofen; Insulin; ORS,Stay hydrated; Wear protective mask; Avoid extreme temperatures; Avoid crowded places,Use mosquito repellent; Avoid allergens; Consult doctor before travel,Low
Chickenpox,High,ORS; Pain Reliever; Steroids; Antihistamine,Stay hydrated; Carry prescribed medicines; Wear protective mask; Avoid extreme temperatures,Consult doctor before travel; Carry emergency kit; Avoid allergens,High
Stroke,High,Ibuprofen; Insulin,Avoid extreme temperatures; Carry prescribed medicines; Stay hydrated; Monitor symptoms regularly,Carry emergency kit; Avoid allergens; Avoid heavy physical activity,Moderate
Hypertension,High,Ibuprofen; Antibiotics; Antimalarial,Stay hydrated; Avoid crowded places; Monitor symptoms regularly; Take adequate rest,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Low
Bronchitis,High,Steroids; Antihistamine,Maintain hygiene; Take adequate rest; Wear protective mask; Carry prescribed medicines,Avoid heavy physical activity; Consult doctor before travel; Follow medication schedule,Low
Cholera,High,Antibiotics; Insulin; Steroids; ORS,Stay hydrated; Carry prescribed medicines; Take adequate rest; Monitor symptoms regularly,Avoid allergens; Consult doctor before travel; Use mosquito repellent,High
Cholera,Moderate,Antimalarial; Ibuprofen; Antihistamine; Bronchodilator,Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated,Use mosquito repellent; Avoid heavy physical activity; Carry emergency kit,Critical
Parkinson's Disease,Moderate,Bronchodilator; ORS,Take adequate rest; Avoid crowded places; Carry prescribed medicines; Monitor symptoms regularly,Carry emergency kit; Consult doctor before travel; Avoid allergens,Critical
Osteoporosis,High,Antibiotics; Ibuprofen,Wear protective mask; Stay hydrated; Maintain hygiene; Avoid crowded places,Carry emergency kit; Follow medication schedule; Avoid allergens,Critical
Heat Exhaustion,Moderate,Ibuprofen; Antimalarial; ORS,Monitor symptoms regularly; Stay hydrated; Maintain hygiene; Avoid extreme temperatures,Follow medication schedule; Use mosquito repellent; Avoid heavy physical activity,Critical
Skin Infection,High,Insulin; Steroids; Ibuprofen,Maintain hygiene; Carry prescribed medicines; Take adequate rest; Avoid crowded places,Carry emergency kit; Consult doctor before travel; Avoid allergens,High
